vendor,name,release,screen,RAM,storage,removable battery,maintainers,codename,models,SOC,versions,Wiki mod.Date,Wiki Link
Motorola,Moto Z,2016-09,5.5,4 GB,32/64 GB,False,5,griffin,"XT1650-03,XT1650-05",Qualcomm MSM8996 Snapdragon 820,"{16, 17, 14, 15}",2020-03-25,https://wiki.lineageos.org/devices/griffin
Oneplus,5,2017-06,5.5,6/8 GB,64/128 GB UFS 2.1 2-LANE,False,5,cheeseburger,,Qualcomm MSM8998 Snapdragon 835,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/cheeseburger
Essential,Essential PH-1,2017-08,5.71,4 GB,128 GB UFS 2.1 2-LANE,False,4,mata,,Qualcomm MSM8998 Snapdragon 835,"{16, 17}",2020-04-28,https://wiki.lineageos.org/devices/mata
Bq,Aquaris X,2017-06,5.2,3/4 GB LPDDR3,32/64 GB,False,3,bardock,,Qualcomm MSM8953 Pro Snapdragon 626,"{16, 17, 15}",2020-04-10,https://wiki.lineageos.org/devices/bardock
Bq,Aquaris X2,2018-05,5.65,3/4 GB LPDDR3,32/64 GB,False,3,zangya,,Qualcomm SDM660 Snapdragon 636,{16},2020-05-03,https://wiki.lineageos.org/devices/zangya
Bq,Aquaris X2 Pro,2018-05,5.65,4/6 GB LPDDR3,64/128 GB,False,3,zangyapro,,Qualcomm SDM660 Snapdragon 660,{16},2020-05-03,https://wiki.lineageos.org/devices/zangyapro
Motorola,Moto G7,2019-02,6.2,4 GB,64 GB,False,3,river,"XT1962-01,XT1962-04,XT1962-05,XT1962-06",Qualcomm MSM8953 Snapdragon 632,"{16, 17}",2020-03-31,https://wiki.lineageos.org/devices/river
Nextbit,Robin,2016-02,5.2,3 GB,32 GB,False,3,ether,,Qualcomm MSM8992 Snapdragon 808,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/ether
Realme,3 Pro,2019-04-29,6.3,4/6 GB LPDDR4X,64/128 GB eMMC5.1,False,3,RMX1851,RMX1851,Qualcomm SDM710 Snapdragon 710,{16},2020-05-03,https://wiki.lineageos.org/devices/RMX1851
Samsung,Galaxy Tab S2 8.0 Wi-Fi (2016),2016,8,3 GB,32/64 GB,False,3,gts28vewifi,SM-T713,Qualcomm MSM8976 Snapdragon 652,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/gts28vewifi
